rps,duration,service_name,cpu_lim,mem_lim,50%,90%,99%,cpu_util,mem_free,complete_rate
285,15,fibonacci-python,750m,1900Mi,1550.0,1001969.0,2815468.0,0.016464285714285508,0.9543807274475247,0.9568619582664526
285,15,fibonacci-python,800m,100Mi,1518.0,98811.0,2678548.0,0.016767857142857067,0.9544668740757798,0.9888
285,15,fibonacci-python,800m,300Mi,1498.0,2585.0,2533540.0,0.016250000000000347,0.9544022549767376,0.972177742193755
285,15,fibonacci-python,800m,500Mi,1528.0,186603.0,2780553.0,0.016410714285713418,0.9544599592216305,0.9664917238595074
285,15,fibonacci-python,800m,700Mi,1559.0,1002547.0,2856757.0,0.017331043956044557,0.9544119694731517,0.9795427196149218
285,15,fibonacci-python,800m,900Mi,1527.0,32125.0,2589702.0,0.016142857142857077,0.9544698152721764,0.9537653947102765
285,15,fibonacci-python,800m,1100Mi,1528.0,1001979.0,2795709.0,0.017075549450549603,0.9544312674885638,0.9854
285,15,fibonacci-python,800m,1300Mi,1525.0,25373.0,2577750.0,0.01569677362637343,0.9545096834066642,0.9739843906343806
285,15,fibonacci-python,800m,1500Mi,1580.0,1014592.0,2878652.0,0.01617857142857143,0.9544409631497301,0.9489095315024233
285,15,fibonacci-python,800m,1700Mi,1538.0,1002309.0,2814945.0,0.016982142857143143,0.9545011968235242,0.9885908726981585
285,15,fibonacci-python,800m,1900Mi,1579.0,1054145.0,2885167.0,0.017446428571428536,0.9544168250551637,0.9621773063838303
285,15,fibonacci-python,850m,100Mi,1533.0,2642.0,2381218.0,0.016124999999999952,0.9544748802152128,0.9667003027245207
285,15,fibonacci-python,850m,300Mi,1535.0,1001874.0,2777034.0,0.016626373626373543,0.9544177153828415,0.977
285,15,fibonacci-python,850m,500Mi,1530.0,2252.0,2313573.0,0.015446428571428784,0.9544720424677928,0.9548826950070183
285,15,fibonacci-python,850m,700Mi,1503.0,2195.0,1002771.0,0.017410714285714488,0.9544550955259732,0.9885840176246745
285,15,fibonacci-python,850m,900Mi,1527.0,1001960.0,2789054.0,0.01613335128205158,0.9544893107679182,0.9736
285,15,fibonacci-python,850m,1100Mi,1545.0,1001976.0,2784726.0,0.0156964285714282,0.9544290036366575,0.9576645264847512
285,15,fibonacci-python,850m,1300Mi,1520.0,105887.0,2754894.0,0.015446428571428328,0.9544956349197173,0.9894
